BASE_YM,MENU_CODE,MENU_NM,NTT_CNT,NTT_PER_AVRG_MENTN_CNT
202102,CNVNC_M02001,간장·마늘치킨,463352,0.0095
202102,KOREA_M01001,간장·양념게장,463352,0.0251
202102,KOREA_M01002,갈비찜·뼈찜,463352,0.0079
202102,KOREA_M02001,갈비탕,463352,0.0126
202102,KOREA_M02002,감자탕,463352,0.0100
202102,CNVNC_M01001,감자튀김·사이드메뉴,463352,0.0285
202102,BARFD_M01001,견과류,463352,0.0002
202102,KOREA_M01003,계란찜·계란말이,463352,0.0442
202102,CNVNC_M01002,고로케·소시지빵·피자빵,463352,0.0085
202102,KOREA_M06001,고추장찌개·돼지찌개,463352,0.0337
202102,BARFD_M01002,골뱅이,463352,0.0047
202102,KOREA_M01004,곰장어 요리,463352,0.0029
202102,KOREA_M05001,곱창·막창·내장부위,463352,0.0651
202102,KOREA_M01005,공기밥·돌솥밥,463352,0.0087
202102,BARFD_M01003,과일안주,463352,0.0005
202102,KOREA_M02003,국·탕,463352,0.0250
202102,KOREA_M02004,국밥,463352,0.0109
202102,KOREA_M03001,국수·칼국수·수제비,463352,0.1084
202102,KOREA_M01006,굴요리,463352,0.0065
202102,FORGN_M01001,그라탕,463352,0.0021
202102,KOREA_M05002,기타동물,463352,0.0002
202102,CNVNC_M02002,기타시즈닝치킨,463352,0.0431
202102,SNACK_M01001,김밥·주먹밥,463352,0.0348
202102,KOREA_M06002,김치찌개·참치찌개,463352,0.0244
202102,SPECL_M01001,나베·전골,463352,0.0410
202102,KOREA_M01008,낙지·오징어·쭈꾸미 요리,463352,0.0895
202102,KOREA_M05003,닭갈비,463352,0.0166
202102,CNVNC_M01003,닭강정,463352,0.0086
202102,KOREA_M05004,닭똥집·모래집,463352,0.0024
202102,KOREA_M05005,닭발,463352,0.0171
202102,KOREA_M05006,닭볶음탕,463352,0.0161
202102,SPECL_M01002,덮밥,463352,0.0355
202102,CNVNC_M01004,도넛·꽈배기,463352,0.0191
202102,SPECL_M01003,도시락,463352,0.0048
202102,SPECL_M01004,돈가스,463352,0.0594
202102,FORGN_M01003,돈부리,463352,0.0182
202102,FORGN_M01004,동남아음식,463352,0.0045
202102,KOREA_M05007,돼지갈비·주물럭·양념고기,463352,0.0247
202102,KOREA_M05008,돼지고기 구이,463352,0.1189
202102,KOREA_M06003,된장찌개·청국장,463352,0.0547
202102,SPECL_M01005,두부요리,463352,0.0213
202102,CNVNC_M01005,떡·모찌,463352,0.0679
202102,SNACK_M01002,떡볶이,463352,0.0680
202102,DRINK_M01001,라떼류음료,463352,0.1093
202102,DRINK_M01002,라떼류커피,463352,0.0731
202102,SNACK_M01003,라면,463352,0.0695
202102,FORGN_M01006,리소토·필라프,463352,0.0296
202102,FORGN_M01007,마라탕,463352,0.0213
202102,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,463352,0.0860
202102,ALCHL_M01003,막걸리,463352,0.0217
202102,CNVNC_M01007,만두,463352,0.0577
202102,KOREA_M02005,매운탕·해물탕,463352,0.0242
202102,ALCHL_M01004,맥주,463352,0.0099
202102,CNVNC_M01008,머핀·카스텔라,463352,0.0090
202102,FORGN_M01008,멕시칸음식,463352,0.0018
202102,SPECL_M01006,면류,463352,0.0024
202102,KOREA_M03002,물냉면,463352,0.0204
202102,KOREA_M01009,민물고기 요리,463352,0.0024
202102,KOREA_M01010,민물장어 요리,463352,0.0036
202102,SPECL_M01007,바닷가재·게요리,463352,0.0282
202102,CNVNC_M02003,반반치킨,463352,0.0020
202102,KOREA_M04001,백반,463352,0.0122
202102,KOREA_M05009,백숙·토종닭,463352,0.0040
202102,SPECL_M01010,버섯요리,463352,0.0017
202102,BARFD_M01004,번데기,463352,0.0021
202102,CNVNC_M01009,베이글·식사용빵,463352,0.0064
202102,CNVNC_M02004,베이크류치킨,463352,0.0020
202102,KOREA_M05010,보쌈,463352,0.0172
202102,KOREA_M01011,복어요리,463352,0.0022
202102,SPECL_M01011,볶음밥,463352,0.0908
202102,KOREA_M06004,부대찌개,463352,0.0101
202102,KOREA_M05011,불닭,463352,0.0083
202102,BUFFT_M01001,뷔페·식권,463352,0.0113
202102,KOREA_M03003,비빔냉면,463352,0.0155
202102,KOREA_M01012,비빔밥,463352,0.0322
202102,CNVNC_M01010,빙수,463352,0.0072
202102,FORGN_M01009,사시미,463352,0.0148
